id,name,partOf,locationType
LHUYvwY2Aq1,HQ Office,Location/0,CRVS_OFFICE
Ov8OIeilmwj,French Embassy Office,Location/0,CRVS_OFFICE
QrJy3W76BGd,UK Embassy Office,Location/0,CRVS_OFFICE
eF8mK8JAMKZ,Central Province Office,Location/WoNZq5uKPT0,CRVS_OFFICE
TpQfg7EbAul,Pualula Province Office,Location/o44wEmWlYr8,CRVS_OFFICE
Ry6NHyadadA,Sulaka Province Office,Location/EdAHjSJkuLb,CRVS_OFFICE
n2fiap4evma,Chuminga Province Office,Location/jJflULHjjIk,CRVS_OFFICE
DC5stjQ45n3,Isamba District Office,Location/Qxj1vERd9JJ,CRVS_OFFICE
TzgPMNl3Jap,Itambo District Office,Location/SXsrYaPI77h,CRVS_OFFICE
Cyq8mi6tRVM,Ezhi District Office,Location/yIg1VrjnkAy,CRVS_OFFICE
Ap0mxDoJJ9s,Ilanga District Office,Location/g9bEobgzisg,CRVS_OFFICE
XLvNMQSOZM4,Irundu District Office,Location/z9zl7RuwERC,CRVS_OFFICE
xmJJAsGfSTn,Ibombo District Office,Location/RNblUNSnSpQ,CRVS_OFFICE
8G4ZpZDYUvh,Zobwe District Office,Location/P9K63LSFZH3,CRVS_OFFICE
HCPPKY6gob2,Afue District Office,Location/f2pCLxb0lnX,CRVS_OFFICE
iuntV0UV3Tc,Ama District Office,Location/MaDrivTETpr,CRVS_OFFICE
QtRZPH5M1Xd,Nsali District Office,Location/S1rKGyWYnsi,CRVS_OFFICE
nyzHo1A1Asw,Soka District Office,Location/XRlphADibcf,CRVS_OFFICE
IRgUVi3fs82,Chibiya District Office,Location/RKQ6R4bAjTg,CRVS_OFFICE
wePut0Sstzy,Amani Village Office,Location/shA6P3MsHar,CRVS_OFFICE
AJOCBnD3Xkf,Bakari Village Office,Location/FNuYUPnmbpD,CRVS_OFFICE
0ezNmREpOaU,Chuma Village Office,Location/VgAk7Gdp0CX,CRVS_OFFICE
UDqpNVGMrer,Dalila Village Office,Location/qtHioRRdzHz,CRVS_OFFICE
mA4KR1VxavU,Elimu Village Office,Location/07zUHLnnBbu,CRVS_OFFICE
QzkChMbyIbN,Fahari Village Office,Location/iCdxnuVxUZp,CRVS_OFFICE
obtqn62tOy4,Felani Village Office,Location/gSqpoCGdMXp,CRVS_OFFICE
fbH9vOWOU6m,Gani Village Office,Location/bjhPInRVkLU,CRVS_OFFICE
CqpIqK3yn9F,Goroma Village Office,Location/KvAAIaNqVrp,CRVS_OFFICE
hY7gbtP7ySe,Hakuna Village Office,Location/QMgV0Lh8WvA,CRVS_OFFICE
fcgMXAdx9G8,Halifu Village Office,Location/qe4UnEVt1hv,CRVS_OFFICE
wFv0Yg7NZRB,Imani Village Office,Location/T7qYHDBTq0Z,CRVS_OFFICE
1aSQHqNgAC7,Jabari Village Office,Location/yHH9Nz4rLOt,CRVS_OFFICE
v2Rra6fSEVQ,Jamii Village Office,Location/OEXfnQsKDGA,CRVS_OFFICE
UuRqphlhHVl,Kazi Village Office,Location/nES8Grgmola,CRVS_OFFICE
2qFl41sNLjV,Kifani Village Office,Location/eSWmXIGeu1I,CRVS_OFFICE
Ctu8zF9OHzl,Kitu Village Office,Location/efICdt4slOT,CRVS_OFFICE
PmAyxAJkxiJ,Klow Village Office,Location/IkYcYBUcyY2,CRVS_OFFICE
QmAyxAJkxiJ,Klow Village Hospital,Location/IkYcYBUcyY2,HEALTH_FACILITY
wUMVmI5BRh8,Laini Village Office,Location/mmW3Dc2mvtJ,CRVS_OFFICE
Hr8IRh1E2JD,Lakini Village Office,Location/Bld6DYyeNdj,CRVS_OFFICE
HWGaub52Ztd,Lumela Village Office,Location/bh0b3aI1uP3,CRVS_OFFICE
LojIIf94ChZ,Maji Village Office,Location/VGYeAy4l3Gg,CRVS_OFFICE
26fEeVVhDIq,Makulu Village Office,Location/NIZoUkU1lEn,CRVS_OFFICE
eVjED8aCu1H,Mbondo Village Office,Location/Qhvv5hvo3mY,CRVS_OFFICE
FbmOHnKYaXR,Mbula Village Office,Location/osEbKjRc9Kg,CRVS_OFFICE
Is9hVLXnGBB,Moja Village Office,Location/19sMLT6mnOj,CRVS_OFFICE
nXbOqc9PhWF,Ndara Village Office,Location/crXh068O9TR,CRVS_OFFICE
vj7uff0LYTH,Ndoki Village Office,Location/aq4daBUAGr3,CRVS_OFFICE
ESFqZ8pIx5F,Nguvu Village Office,Location/susd8QUOSd4,CRVS_OFFICE
keaBKsoRRCQ,Nia Village Office,Location/5WMO5AHO4Ze,CRVS_OFFICE
2AnHTmt9OBG,Nyala Village Office,Location/ZapDslZdS9c,CRVS_OFFICE
hnuKoneNo41,Obiwa Village Office,Location/InxW9uC8m4a,CRVS_OFFICE
B2DjIXE16c3,Olani Village Office,Location/r00It8Tvvp7,CRVS_OFFICE
21rWz5FYrsK,Oro Village Office,Location/E9wNkTotFZk,CRVS_OFFICE
ktUJrhQR6FE,Oya Village Office,Location/p3MinOBkT3e,CRVS_OFFICE
ecAtpf7ZJ69,Pamoja Village Office,Location/snK3vUpxhW3,CRVS_OFFICE
LhCinzvFDJO,Pemba Village Office,Location/ZnUWsbONIaH,CRVS_OFFICE
eoPni6JDWYl,Pendwa Village Office,Location/t7uA69o3vox,CRVS_OFFICE
