id,description,en,fr
authenticationCodeNotification,The SMS messsage that is sent continaing a 2-factor authentication code,Your OpenCRVS authentication code is: {{code}},Votre code d'authentification OpenCRVS est : {{code}}
birthDeclarationNotification,The SMS message that is sent to the parent for a birth declaration,Birth registration tracking ID for {{name}} is {{trackingId}}. You will get an SMS within 2 days with progress and next steps.,Le numéro de suivi de l'enregistrement de la naissance de {{name}} est {{trackingId}}. Vous recevrez un SMS dans les 2 jours avec l'état d'avancement et les prochaines étapes.
birthInProgressNotification,The SMS message that is sent to the parent for a birth notification,Birth registration tracking ID is {{trackingId}}. You must visit {{crvsOffice}} to complete the declaration,L'ID de suivi de l'enregistrement de la naissance est {{trackingId}}. Vous devez vous rendre au {{crvsOffice}} pour effectuer la déclaration.
birthRegistrationNotification,The SMS message that is sent to the parent for a birth registration,"Congratulations, the birth of {{name}} has been registered. Visit your local registration office in 5 days with your ID to collect the certificate. Your tracking ID is {{trackingId}}.","Félicitations, la naissance de {{name}} a été enregistrée. Rendez-vous au bureau d'état civil local dans 5 jours avec votre pièce d'identité pour retirer le certificat. Votre identifiant de suivi est {{trackingId}}."
birthRejectionNotification,The SMS message that is sent to the parent for a birth declaration rejection,Birth registration declaration for {{name}} ( Tracking ID: {{trackingId}} ) has been rejected. Please visit your local registration office for more information.,Déclaration de naissance de {{name}} ( Tracking ID : {{trackingId}} ) a été rejetée. Veuillez consulter votre bureau d'état civil local pour plus d'informations.
deathDeclarationNotification,The SMS message that is sent to the parent for a death declaration,Death registration tracking ID for {{name}} is {{trackingId}}. You will get an SMS within 2 days with progress and next steps.,Le numéro de suivi de l'enregistrement du décès de {{name}} est {{trackingId}}. Vous recevrez un SMS dans les 2 jours avec l'état d'avancement et les prochaines étapes.
deathInProgressNotification,The SMS message that is sent to the parent for a death notification,Death registration tracking ID is {{trackingId}}. You must visit {{crvsOffice}} to complete the declaration,L'ID de suivi de l'enregistrement du décès est {{trackingId}}. Vous devez vous rendre au {{crvsOffice}} pour compléter la déclaration.
deathRegistrationNotification,The SMS message that is sent to the parent for a death registration,The death of {{name}} has been registered. Visit your local registration office in 5 days with your ID to collect the certificate. Your tracking ID is {{trackingId}}.,Le décès de {{name}} a été enregistré. Rendez-vous au bureau d'état civil local dans 5 jours avec votre pièce d'identité pour retirer le certificat. Votre identifiant de suivi est {{trackingId}}.
deathRejectionNotification,The SMS message that is sent to the parent for a death declaration rejection,Death registration declaration for {{name}} ( Tracking ID: {{trackingId}} ) has been rejected. Please visit your local registration office for more information.,Déclaration de décès de {{name}} ( Tracking ID : {{trackingId}} ) a été rejetée. Veuillez consulter votre bureau d'état civil local pour plus d'informations.
resetUserPasswordByAdminNotification,The SMS message that is sent to a user when admin resets their password,Your password has been reset. Please login to {{applicationName}} with the temporary password: {{temporaryPassword}}.,Votre mot de passe a été réinitialisé. Veuillez vous connecter à {{applicationName}} avec le mot de passe temporaire : {{temporaryPassword}}.
resetUserPasswordNotification,The SMS message that is sent to a user when they reset password,Use the code {{code}} to reset your {{applicationName}} password. This code expires in 10 minutes.,Utilisez le code {{code}} pour réinitialiser votre mot de passe {{applicationName}}. Ce code expire dans 10 minutes.
retieveUserNameNotification,The SMS message that is sent to a user containing a username,Your username for OpenCRVS is: {{username}},Votre nom d'utilisateur pour OpenCRVS est : {{username}}
updateUserNameNotification,The SMS message that is sent to a user to confirm an updated username,Your OpenCRVS username has been updated to: {{newUsername}}. Your password has not changed.,Votre nom d'utilisateur pour OpenCRVS a été mis à jour en : {{newUsername}}. Votre mot de passe n'a pas changé.
userCredentialsNotification,The SMS message that is sent to a new user with a username and passowrd,Your OpenCRVS account has been created. Please login with your username: {{username}} and temporary password: {{temporaryPassword}},Votre compte OpenCRVS a été créé. Veuillez vous connecter avec votre nom d'utilisateur : {{username}} et votre mot de passe temporaire : {{temporaryPassword}}.
resendInviteNotification,The SMS message that is sent to a user when their invite is resent,Your OpenCRVS account invitation has been resent. Please login with your username: {{username}} and temporary password: {{temporaryPassword}},Votre invitation au compte OpenCRVS a été renvoyée. Veuillez vous connecter avec votre nom d'utilisateur : {{username}} et votre mot de passe temporaire : {{temporaryPassword}}.
