reference,male_population_2007,female_population_2007,population_2007,male_female_ratio_2007,crude_birth_rate_2007,male_population_2008,female_population_2008,population_2008,male_female_ratio_2008,crude_birth_rate_2008,male_population_2009,female_population_2009,population_2009,male_female_ratio_2009,crude_birth_rate_2009,male_population_2010,female_population_2010,population_2010,male_female_ratio_2010,crude_birth_rate_2010,male_population_2011,female_population_2011,population_2011,male_female_ratio_2011,crude_birth_rate_2011,male_population_2012,female_population_2012,population_2012,male_female_ratio_2012,crude_birth_rate_2012,male_population_2013,female_population_2013,population_2013,male_female_ratio_2013,crude_birth_rate_2013,male_population_2014,female_population_2014,population_2014,male_female_ratio_2014,crude_birth_rate_2014,male_population_2015,female_population_2015,population_2015,male_female_ratio_2015,crude_birth_rate_2015,male_population_2016,female_population_2016,population_2016,male_female_ratio_2016,crude_birth_rate_2016,male_population_2017,female_population_2017,population_2017,male_female_ratio_2017,crude_birth_rate_2017
division=1&district=1,819424,786889,1606453,104.1,18.2,853360,836454,1690212,102.0,21.0,900168,876860,1777421,102.7,21.8,902998,878061,1781461,102.8,16.2,910266,877673,1788171,103.7,12.6,959297,932858,1892619,102.8,20.6,503831,490840,994671,102.6,17.5,513181,505545,1018724,101.5,18.9,658472,656153,1314625,100.4,16.5,680629,680252,1360881,100.1,12.6,669433,659355,1328793,101.5,16.7
division=1&district=2,1395645,1292387,2687410,108,19.5,1349957,1281920,2631804,105.3,18.6,1373305,1288504,2661370,106.6,14.7,1396205,1319132,2715088,105.8,18.4,1401818,1321584,2723055,106.1,27.2,1432042,1337133,2768510,107.1,19.4,1316685,1269228,2585922,103.7,17.7,1066686,1081348,2148038,98.6,19.6,3810239,3868783,7679048,98.5,16.5,3858687,3912459,7771139,98.6,17.2,3593024,3592722,7185744,100,19.5
division=1&district=3,1204118,1076593,2279481,111.8,20.7,1180187,1056212,2235238,111.7,23.1,1164858,1042770,2206196,111.7,17.3,1160270,1044138,2203021,111.1,17.6,1216298,1087609,2302221,111.8,19.8,1212965,1073180,2284128,113,18.2,1023024,957605,1980654,106.8,21.2,828794,791532,1620319,104.7,21.7,1375821,1330058,2705865,103.4,22.7,1461128,1406504,2867637,103.9,22,1472570,1417879,2890482,103.9,12.4
division=1&district=4,866314,859216,1726171,100.8,21,765058,748789,1514185,102.2,21.2,1066675,1039439,2106589,102.6,18.4,911532,914411,1826984,99.7,17.8,922988,916802,1840656,100.7,18.7,884706,878575,1764155,100.7,21.3,407206,391423,798633,104,19.2,404823,399482,804304,101.3,20.6,580985,575846,1156829,100.9,17.6,584955,575159,1160115,101.7,18.6,565195,555116,1120317,101.8,17.2
division=1&district=5,1056064,980113,2035745,107.7,23.1,994288,929673,1923660,107,23.5,1109726,1034508,2143737,107.3,21.6,1113055,1036631,2149147,107.4,21.1,1106691,1025643,2131645,107.9,20.3,1192324,1101543,2293026,108.2,19.4,886992,847490,1734493,104.7,18.3,890294,869222,1759513,102.4,14,1184979,1145943,2330910,103.4,18.9,1270451,1219149,2489605,104.2,18.1,1268378,1206282,2474699,105.1,18.7
division=1&district=6,851823,828332,1680488,102.8,19.7,844748,833017,1678244,101.4,20.4,856145,844744,1701491,101.3,19,882350,843818,1726241,104.6,19.5,884123,853901,1738283,103.5,17,890969,862561,1753867,103.3,18.5,606913,585129,1192046,103.7,19.1,610726,596295,1207018,102.4,18.3,881290,881182,1762474,100,19.1,867781,867775,1735556,100,21.1,876351,883429,1759774,99.2,18.9
division=2&district=10,2748911,2633873,5383150,104.4,19.1,2827583,2678875,5506200,105.6,17.9,2756052,2663628,5420441,103.5,19.4,2818289,2722950,5542099,103.5,19.5,2817337,2717687,5535772,103.7,19.9,2814830,2719864,5535629,103.5,17.6,4024416,3941205,7965612,102.1,15.4,4026148,4109437,8135606,98,16.5,4221868,4254766,8476651,99.2,16.1,4320104,4363218,8683317,99,18.3,4494299,4558814,9053069,98.6,16.1
division=2&district=11,2450615,2368189,4819494,103.5,21.7,2556662,2477365,5034732,103.2,19.8,2532191,2491988,5025822,101.6,17.6,2589098,2509723,5099797,103.2,18.8,2564990,2526180,5093069,101.5,20.3,2604009,2577370,5183743,101,15.9,2837084,2851194,5688227,99.5,17.7,2821818,2966613,5788463,95.1,17.7,2295516,2449626,4745200,93.7,22.6,2281911,2453911,4735805,93,22.7,2076189,2254387,4330463,92.1,19.8
division=2&district=12,1136311,993048,2127785,114.4,17.1,1216820,1057402,2272488,115.1,17.4,1159997,1014119,2172177,114.4,16.8,1125306,1002388,2126116,112.3,16.5,1114241,989719,2102259,112.6,17.5,1134388,998812,2131195,113.6,18.2,1200690,1153094,2353795,104.1,20.7,1227759,1192140,2419893,103,15.6,982125,991246,1973375,99.1,16.6,994675,1002247,1996921,99.2,15.7,988766,977139,1965912,101.2,12.4
division=2&district=13,872603,921380,1795637,94.7,21.8,1033791,1107648,2143526,93.3,23.8,988074,1057562,2048076,93.4,21.7,924884,985003,1912239,93.9,23.4,925784,995995,1924440,93,22.7,941503,1014419,1958797,92.8,19.6,696414,734253,1430633,94.8,21.2,607572,641783,1249362,94.7,15.9,575740,601713,1177463,95.7,22.4,596536,620823,1217356,96.1,20.1,608422,642328,1250728,94.7,18.8
division=2&district=14,840477,765507,1605378,109.8,20.8,905712,832488,1737682,108.8,19.4,835176,753593,1587868,110.8,18.2,842981,761636,1603679,110.7,19,865669,798078,1663110,108.5,17.9,893958,828770,1722168,107.9,11.8,321935,327895,649822,98.2,15.8,328454,333052,661506,98.6,15.6,385067,384292,769359,100.2,15.9,356848,360608,717455,99,17.3,406307,405907,812213,100.1,16.9
