division,district,districtBn,upazila,upazilaBn,union,unionBn,A2IReference,facilityNameEnglish,facilityNameBengali,facilityTypeBengali,facilityTypeEnglish,facilityId
Barisal,Barguna,বরগুনা,Amtali,আমতলী,Amtali,আমতলী ,,Amtali Union Parishad,আমতলী ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000000001
Barisal,Barguna,বরগুনা,Amtali,আমতলী,Arpangashia,আরপাংগাশিয়া,,Arpangashia Union Parishad,আরপাংগাশিয়া ইউনিয়ন পরিষদ ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000000002
Barisal,Barguna,বরগুনা,Amtali,আমতলী,Atharagashia,আঠারগাছিয়া,,Atharagashia Union Parishad,আঠারগাছিয়া ইউনিয়ন পরিষদ ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000000003
Barisal,Barguna,বরগুনা,Amtali,আমতলী,Amtali Paurashava,আমতলী পৌরসভা,,Amtali Paurashava,আমতলী পৌরসভা,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000000004
Barisal,Barguna,বরগুনা,Amtali,আমতলী,Chowra,চাওড়া,,Chowra Union Parishad,চাওড়া ইউনিয়ন পরিষদ ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000000005
Barisal,Barguna,বরগুনা,Amtali,আমতলী,Gulisakhali,গুলিসাখালী,,Gulishakhali Union Parishad,গুলিশাখালী ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000000006
Barisal,Barguna,বরগুনা,Amtali,আমতলী,Haldia,হলদিয়া,,Haldia Union Parishad,হলদিয়া ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000000007
Barisal,Barguna,বরগুনা,Amtali,আমতলী,Kukua,কুকুয়া,,Kukua Union Parishad,কুকুয়া ইউনিয়ন পরিষদ ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000000008
Barisal,Barguna,বরগুনা,Bamna,বামনা,Bamna,বামনা ,,Bamna Union Parishad,বামনা ইউনিয়ন পরিষদ ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000000009
Barisal,Barguna,বরগুনা,Bamna,বামনা,Bukabunia,বুকাবুনিয়া,,Bukabunia Union Parishad,বুকাবুনিয়া ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000000010
