division,district,districtBn,upazila,upazilaBn,union,unionBn,A2IReference,facilityNameEnglish,facilityNameBengali,facilityTypeBengali,facilityTypeEnglish,facilityId
Dhaka,Narsingdi,নরসিংদী,Narsingdi ,নরসিংদী সদর,Madhabdi Paurasabha,মাধবদী পৌরসভা,,Madhabdi Paurasabha,মাধবদী পৌরসভা,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000002300
Dhaka,Narsingdi,নরসিংদী,Narsingdi ,নরসিংদী সদর,Narsingdi Paurasabha,নরসিংদী পৌরসভা,,Narsingdi Paurasabha,নরসিংদী পৌরসভা,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000002301
Dhaka,Narsingdi,নরসিংদী,Narsingdi ,নরসিংদী সদর,Alokbali,আলোকবালী,,Alokbali Union Parishad,আলোকবালী  ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000002302
Dhaka,Narsingdi,নরসিংদী,Narsingdi ,নরসিংদী সদর,Amdia,আমদিয়া,,Amdia Union Parishad,আমদিয়া ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000002303
Dhaka,Narsingdi,নরসিংদী,Narsingdi ,নরসিংদী সদর,Char Dighaldi,চরদিঘলদী,,Char Dighaldi Union Parishad,চরদিঘলদী ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000002304
Dhaka,Narsingdi,নরসিংদী,Narsingdi ,নরসিংদী সদর,Chinishpur,চিনিশপুর,,Chinishpur,চিনিশপুর,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000002305
Dhaka,Narsingdi,নরসিংদী,Narsingdi ,নরসিংদী সদর,Hajipur,হাজীপুর,,Hajipur Union Parishad,হাজীপুর ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000002306
Dhaka,Narsingdi,নরসিংদী,Narsingdi ,নরসিংদী সদর,Karimpur,করিমপুর,,Karimpur Union parishad,করিমপুর ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000002307
Dhaka,Narsingdi,নরসিংদী,Narsingdi ,নরসিংদী সদর,Kanthalia,কাঠালিয়া,,Kanthalia Union Parishad,কাঠালিয়া ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000002308
Dhaka,Narsingdi,নরসিংদী,Narsingdi ,নরসিংদী সদর,Nuralla Pur U/c,নুরালাপুর,,Nuralla Pur U/c Union Parishad,নুরালাপুর ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000002309
Dhaka,Narsingdi,নরসিংদী,Narsingdi ,নরসিংদী সদর,Mahishasura,মহিষাশুড়া,,Mahishasura Union Parishad,মহিষাশুড়া ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000002310
Dhaka,Narsingdi,নরসিংদী,Narsingdi ,নরসিংদী সদর,Meher Para,মেহেরপাড়া,,Meher Para Union Parishad,মেহেরপাড়া ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000002311
Dhaka,Narsingdi,নরসিংদী,Narsingdi ,নরসিংদী সদর,Nazarpur,নজরপুর,,Nazarpur Union Parishad,নজরপুর ইউনিয়ন পরিষদ,ইউনিয়ন পরিষদ,CRVS_OFFICE,CRVS_FACILITY000002312
