"OpenCRVS_ID","Type","English_name","Bengali_name","Bureau_of_Statistics_ID","Map_data_exists","OISF_A2I_Reference","Rural_or_Urban","Estimated_Male_Population","Estimated_Female_Population","Estimated_number_of_male_children_aged_10_years","Estimated_number_of_female_children_aged_10_years","Estimated_number_of_male_children_aged_9_years","Estimated_number_of_female_children_aged_9_years","Estimated_number_of_male_children_aged_8_years","Estimated_number_of_female_children_aged_8_years","Estimated_number_of_male_children_aged_7_years","Estimated_number_of_female_children_aged_7_years","Estimated_number_of_male_children_aged_6_years","Estimated_number_of_female_children_aged_6_years","Estimated_number_of_male_children_aged_5_years","Estimated_number_of_female_children_aged_5_years","Estimated_number_of_male_children_aged_4_years","Estimated_number_of_female_children_aged_4_years","Estimated_number_of_male_children_aged_3_years","Estimated_number_of_female_children_aged_3_years","Estimated_number_of_male_children_aged_2_years","Estimated_number_of_female_children_aged_2_years","Estimated_number_of_male_children_aged_1_years","Estimated_number_of_female_children_aged_1_years","Estimated_number_of_male_children_aged_under_6_months","Estimated_number_of_female_children_aged_under_6_months"
"59b68e0c-6e65-46ad-8cf8-698b9495b14a","City Corporation","BARISAL CITY CORP.","বরিশাল সিটি কর্পোরেশন","1",false,"division=1&district=2&citycorporation=1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3db45e68-fd0a-4150-aa09-3880e5a0059a","City Corporation","CHITTAGONG CITY CORP.","চট্টগ্রাম সিটি কর্পোরেশন","2",false,"division=2&district=10&citycorporation=2","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7895e109-a844-4b5c-981c-c154a121821a","City Corporation","COMILLA CITY CORP.","কুমিল্লা সিটি কর্পোরেশন","3",false,"division=2&district=11&citycorporation=3","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8f6baabb-4c14-4e3b-8eda-04db9df5a1ac","City Corporation","DHAKA DAKSHIN CITY CORP.","ঢাকা সিটি কর্পোরেশন","4",false,"division=3&district=18&citycorporation=4","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c76d5e0c-5381-4757-8233-631a8d072d82","City Corporation","DHAKA UTTAR CITY CORP.","ঢাকা সিটি কর্পোরেশন","5",false,"division=3&district=18&citycorporation=5","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7581fdf1-3976-4eaf-a66a-89ca40ccdd3e","City Corporation","Gazipur City Corporation","গাজীপুর সিটি কর্পোরেশন","7",false,"division=3&district=20&citycorporation=7","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f89cf2a2-9580-4977-b65d-a0635317f8a9","City Corporation","NARAYANGANJ CITY CORP.","ঢাকা সিটি কর্পোরেশন","6",false,"division=3&district=28&citycorporation=6","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"410109b2-924c-44c2-8e38-dd1e13248974","City Corporation","KHULNA CITY CORP.","খুলনা সিটি কর্পোরেশন","8",false,"division=4&district=39&citycorporation=8","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65f6f50a-c977-47e4-b047-03ab4f57b058","City Corporation","RAJSHAHI CITY CORP.","রাজশাহী সিটি কর্পোরেশন","9",false,"division=5&district=51&citycorporation=9","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6d7b06ff-ea45-4015-bfc0-ea4616d35791","City Corporation","RANGPUR CITY CORPORATION","রংপুর সিটি কর্পোরেশন","10",false,"division=6&district=59&citycorporation=10","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65cabfe1-ec9e-46db-8d18-4c3f891b102b","City Corporation","SYLHET CITY CORP.","সিলেট সিটি কর্পোরেশন","11",false,"division=7&district=64&citycorporation=11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
