"OpenCRVS_ID","Type","English_name","Bengali_name","Bureau_of_Statistics_ID","Map_data_exists","OISF_A2I_Reference","Rural_or_Urban","Estimated_Male_Population","Estimated_Female_Population","Estimated_number_of_male_children_aged_10_years","Estimated_number_of_female_children_aged_10_years","Estimated_number_of_male_children_aged_9_years","Estimated_number_of_female_children_aged_9_years","Estimated_number_of_male_children_aged_8_years","Estimated_number_of_female_children_aged_8_years","Estimated_number_of_male_children_aged_7_years","Estimated_number_of_female_children_aged_7_years","Estimated_number_of_male_children_aged_6_years","Estimated_number_of_female_children_aged_6_years","Estimated_number_of_male_children_aged_5_years","Estimated_number_of_female_children_aged_5_years","Estimated_number_of_male_children_aged_4_years","Estimated_number_of_female_children_aged_4_years","Estimated_number_of_male_children_aged_3_years","Estimated_number_of_female_children_aged_3_years","Estimated_number_of_male_children_aged_2_years","Estimated_number_of_female_children_aged_2_years","Estimated_number_of_male_children_aged_1_years","Estimated_number_of_female_children_aged_1_years","Estimated_number_of_male_children_aged_under_6_months","Estimated_number_of_female_children_aged_under_6_months"
"df454fa1-1e0f-4852-b263-36c289ed3ee4","District","BARGUNA","বরগুনা","1",false,"division=1&district=1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d5869c8a-e6bb-4ea6-9f85-ead9d6f037e4","District","BARISAL","বরিশাল","2",false,"division=1&district=2","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8ed058ac-ce18-4e9b-9b9c-4ad744821439","District","BHOLA","ভোলা","3",false,"division=1&district=3","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cd69bc1a-3b9f-4fb4-961a-720e3e7291d0","District","JHALOKATI","ঝালকাঠি","4",false,"division=1&district=4","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7e205221-59f4-4e1d-877b-9f5a20ce9f39","District","PATUAKHALI","পটুয়াখালী ","5",false,"division=1&district=5","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b85d3917-c548-427d-b709-b15945986798","District","PIROJPUR","পিরোজপুর ","6",false,"division=1&district=6","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e55a26ef-f3af-418e-a79b-035030606887","District","BANDARBAN","বান্দরবান","7",false,"division=2&district=7","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"288a3108-4a15-466d-a437-2cd6a2920420","District","BRAHMANBARIA","ব্রাহ্মণবাড়িয়া","8",false,"division=2&district=8","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a07b9d05-46e1-4060-9299-db8ae2302270","District","CHANDPUR","চাঁদপুর","9",false,"division=2&district=9","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0c7200ea-4c89-4705-8025-6f1c5d7c1447","District","CHITTAGONG","চট্টগ্রাম","10",false,"division=2&district=10","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
