"OpenCRVS_ID","Type","English_name","Bengali_name","Bureau_of_Statistics_ID","Map_data_exists","OISF_A2I_Reference","Rural_or_Urban","Estimated_Male_Population","Estimated_Female_Population","Estimated_number_of_male_children_aged_10_years","Estimated_number_of_female_children_aged_10_years","Estimated_number_of_male_children_aged_9_years","Estimated_number_of_female_children_aged_9_years","Estimated_number_of_male_children_aged_8_years","Estimated_number_of_female_children_aged_8_years","Estimated_number_of_male_children_aged_7_years","Estimated_number_of_female_children_aged_7_years","Estimated_number_of_male_children_aged_6_years","Estimated_number_of_female_children_aged_6_years","Estimated_number_of_male_children_aged_5_years","Estimated_number_of_female_children_aged_5_years","Estimated_number_of_male_children_aged_4_years","Estimated_number_of_female_children_aged_4_years","Estimated_number_of_male_children_aged_3_years","Estimated_number_of_female_children_aged_3_years","Estimated_number_of_male_children_aged_2_years","Estimated_number_of_female_children_aged_2_years","Estimated_number_of_male_children_aged_1_years","Estimated_number_of_female_children_aged_1_years","Estimated_number_of_male_children_aged_under_6_months","Estimated_number_of_female_children_aged_under_6_months"
"6b545062-5c7f-4323-bfae-913a75f9677e","Municipality","AMTALI PAURASAVA","আমতলী পৌরসভা","6",false,"division=1&district=1&upazila=1&municipality=6","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cc0de657-3649-4045-8228-191245af18b6","Municipality","BARGUNA PAURASAVA","বরগুনা পৌরসভা","7",false,"division=1&district=1&upazila=3&municipality=7","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d9d8ff4a-62f3-4810-8a2b-80717f4cbe6f","Municipality","BETAGI PAURASAVA","বেতাগী পৌরসভা","8",false,"division=1&district=1&upazila=4&municipality=8","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aafcb5ea-1edd-4a2f-8484-b17decba8ef2","Municipality","PATHARGHATA PAURASAVA","পাথরঘাটা পৌরসভা","9",false,"division=1&district=1&upazila=5&municipality=9","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7ecc1757-46e3-4194-9720-239ddd45e286","Municipality","BAKERGANJ PAURASAVA","বাকেরগঞ্জ পৌরসভা","10",false,"division=1&district=2&upazila=9&municipality=10","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37046ed5-649a-43f3-8815-099f5667af1e","Municipality","BANARI PARA PAURASAVA","বানারী পাড়া পৌরসভা","11",false,"division=1&district=2&upazila=10&municipality=11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86008b0f-21cc-4d55-adae-ad34abf131b0","Municipality","GAURNADI PAURASAVA","গৌরনদী পৌরসভা","12",false,"division=1&district=2&upazila=11&municipality=12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1e3294e1-7145-4959-be06-01e268fcf47d","Municipality","MHENDIGANJ PAURASAVA","মেহেন্দিগঞ্জ পৌরসভা","13",false,"division=1&district=2&upazila=14&municipality=13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8b09b27c-5bfa-4b7c-ab62-5a4d5fcc034e","Municipality","MULADI PAURASHAVA","মুলাদী পৌরসভা","14",false,"division=1&district=2&upazila=15&municipality=14","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95092b1f-480b-4fde-92f6-dd7dc921be5c","Municipality","","","313",false,"division=1&district=2&upazila=16&municipality=313","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59befabb-fbc3-435c-9ee5-2f5fd5928a4f","Municipality","BHOLA PAURASAVA","ভোলা পৌরসভা","15",false,"division=1&district=3&upazila=17&municipality=15","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c27d88dd-29f8-4e8e-bb24-2d366e2db95e","Municipality","BURHANUDDIN PAURASAVA","বোরহানউদ্দিন পৌরসভা","16",false,"division=1&district=3&upazila=18&municipality=16","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1c920b1b-3ec8-4c51-ad31-26e590ebc067","Municipality","DAULATKHAN PAURASAVA","দৌলতখান পৌরসভা","18",false,"division=1&district=3&upazila=19&municipality=18","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e1e1d906-49ee-488a-a2b4-94e270dbcdfd","Municipality","LALMOHAN PAURASAVA","লালমোহন পৌরসভা","19",false,"division=1&district=3&upazila=20&municipality=19","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49a6a518-8ba0-456e-8e53-bdbdb7610af9","Municipality","JHALOKATI PAURASAVA","ঝালকাঠী পৌরসভা","127",false,"division=1&district=4&upazila=23&municipality=127","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8240f0ef-dca6-421e-a487-2fdae8551db4","Municipality","NALCHITY PAURASAVA","নলছিটি পৌরসভা","128",false,"division=1&district=4&upazila=24&municipality=128","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2fe7e53e-111b-4a75-8675-868ed1755d81","Municipality","BAUPHAL PAURASHAVA","বাউফল পৌরসভা","244",false,"division=1&district=5&upazila=26&municipality=244","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8c2a85df-cfe6-4533-96bc-05a3227ef984","Municipality","KUAKATA PAURASHAVA","কুয়াকাটা পৌরসভা","247",false,"division=1&district=5&upazila=28&municipality=247","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5b631c99-21be-4cc9-bff2-8bfac22e012e","Municipality","KALAPARA PAURASAVA","কলাপাড়া পৌরসভা","246",false,"division=1&district=5&upazila=29&municipality=246","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70b719ec-caea-4383-9d0d-967a23b3efa7","Municipality","PATUAKHALI PAURASHAVA","পটুয়াখালী পৌরসভা","248",false,"division=1&district=5&upazila=31&municipality=248","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f7eb7d94-aa5c-446c-898d-11434585d4c7","Municipality","MATHBARIA PAURASAVA","মঠবাড়ীয়া পৌরসভা","249",false,"division=1&district=6&upazila=35&municipality=249","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08cf2dbc-bd89-426c-905e-756c6b5f93e2","Municipality","PIROJPUR PAURASAVA","পিরোজপুর পৌরসভা","250",false,"division=1&district=6&upazila=37&municipality=250","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78e977e0-df9c-4b84-9dce-608ba7211bed","Municipality","SWARUPKATI PAURASAVA","স্বরূপকাঠী পৌরসভা","251",false,"division=1&district=6&upazila=38&municipality=251","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c4c26d7c-8eb7-4304-b013-0d5c4faca899","Municipality","BANDARBAN PAURASHAVA","বান্দরবান পৌরসভা","4",false,"division=2&district=7&upazila=41&municipality=4","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203c8b6b-fb5c-4638-aa20-02f121a455ac","Municipality","LAMA PAURASHAVA","লামা পৌরসভা","5",false,"division=2&district=7&upazila=42&municipality=5","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1cbe60bd-726a-4591-a684-93a16922690d","Municipality","AKHAURA PAURASAVA","আখাউড়া পৌরসভা","32",false,"division=2&district=8&upazila=47&municipality=32","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d6fac8a6-fd86-46dc-a52b-27a18ecb90fa","Municipality","BRAHMANBARIA PAURASAVA","ব্রাক্ষ্মণবাড়িয়া পৌরসভা","33",false,"division=2&district=8&upazila=50&municipality=33","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81e3fe7c-9c53-419a-bb53-3346bf9c59ad","Municipality","KASBA PAURASAVA","কসবা পৌরসভা","34",false,"division=2&district=8&upazila=52&municipality=34","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
