"OpenCRVS_ID","Type","English_name","Bengali_name","Bureau_of_Statistics_ID","Map_data_exists","OISF_A2I_Reference","Rural_or_Urban","Estimated_Male_Population","Estimated_Female_Population","Estimated_number_of_male_children_aged_10_years","Estimated_number_of_female_children_aged_10_years","Estimated_number_of_male_children_aged_9_years","Estimated_number_of_female_children_aged_9_years","Estimated_number_of_male_children_aged_8_years","Estimated_number_of_female_children_aged_8_years","Estimated_number_of_male_children_aged_7_years","Estimated_number_of_female_children_aged_7_years","Estimated_number_of_male_children_aged_6_years","Estimated_number_of_female_children_aged_6_years","Estimated_number_of_male_children_aged_5_years","Estimated_number_of_female_children_aged_5_years","Estimated_number_of_male_children_aged_4_years","Estimated_number_of_female_children_aged_4_years","Estimated_number_of_male_children_aged_3_years","Estimated_number_of_female_children_aged_3_years","Estimated_number_of_male_children_aged_2_years","Estimated_number_of_female_children_aged_2_years","Estimated_number_of_male_children_aged_1_years","Estimated_number_of_female_children_aged_1_years","Estimated_number_of_male_children_aged_under_6_months","Estimated_number_of_female_children_aged_under_6_months"
"f8d2e74f-b64d-499b-874c-38c744c73eca","Thana","AMTALI","আমতলী","17",false,"division=1&district=1&thana=17","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fb0832db-e663-460e-b01e-dff9fcf0a959","Thana","BAMNA","বামনা","18",false,"division=1&district=1&thana=18","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b77ce3ef-231b-4596-8756-5f6f5ebdc60e","Thana","BARGUNA SADAR","বরগুনা সদর","19",false,"division=1&district=1&thana=19","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86cfb028-cf12-4cb0-9501-11d906420e62","Thana","BETAGI","বেতাগী","20",false,"division=1&district=1&thana=20","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27910e64-58e2-475f-8d31-a0baff84a212","Thana","PATHARGHATA","পাথরঘাটা","21",false,"division=1&district=1&thana=21","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3e6db6a8-0362-49ad-92a0-3859331ed0b8","Thana","TALTALI","তালতলী","22",false,"division=1&district=1&thana=22","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5a4e14ed-ed9e-4669-8269-ef762f53cdc1","Thana","AGAILJHARA","আগৈলঝাড়া","23",false,"division=1&district=2&thana=23","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"983c6348-0490-40de-b1bd-e13e67990c71","Thana","BABUGANJ","বাবুগঞ্জ","24",false,"division=1&district=2&thana=24","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c1c7f24c-08a8-4671-844a-030c565823d7","Thana","BAKERGANJ","বাকেরগঞ্জ","25",false,"division=1&district=2&thana=25","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a4ec3283-b2e3-45ca-8969-9aafa7e5a346","Thana","BANARI PARA","বানারী পাড়া","26",false,"division=1&district=2&thana=26","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e64368e8-4052-45c3-a20c-1702b5b82c87","Thana","GAURNADI","গৌরনদী","27",false,"division=1&district=2&thana=27","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
