"OpenCRVS_ID","Type","English_name","Bengali_name","Bureau_of_Statistics_ID","Map_data_exists","OISF_A2I_Reference","Rural_or_Urban","Estimated_Male_Population","Estimated_Female_Population","Estimated_number_of_male_children_aged_10_years","Estimated_number_of_female_children_aged_10_years","Estimated_number_of_male_children_aged_9_years","Estimated_number_of_female_children_aged_9_years","Estimated_number_of_male_children_aged_8_years","Estimated_number_of_female_children_aged_8_years","Estimated_number_of_male_children_aged_7_years","Estimated_number_of_female_children_aged_7_years","Estimated_number_of_male_children_aged_6_years","Estimated_number_of_female_children_aged_6_years","Estimated_number_of_male_children_aged_5_years","Estimated_number_of_female_children_aged_5_years","Estimated_number_of_male_children_aged_4_years","Estimated_number_of_female_children_aged_4_years","Estimated_number_of_male_children_aged_3_years","Estimated_number_of_female_children_aged_3_years","Estimated_number_of_male_children_aged_2_years","Estimated_number_of_female_children_aged_2_years","Estimated_number_of_male_children_aged_1_years","Estimated_number_of_female_children_aged_1_years","Estimated_number_of_male_children_aged_under_6_months","Estimated_number_of_female_children_aged_under_6_months"
"d23618f2-ee4e-4a7e-aa4a-efb6e2e9b8ba","Union","AMTALI","আমতলী ","1440",false,"division=1&district=1&upazila=1&union=1440","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46b4295b-2c18-48a2-bdc2-4064b033e6c5","Union","ARPANGASHIA","আড়পাঙ্গাশিয়া","1441",false,"division=1&district=1&upazila=1&union=1441","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4953f238-ab3f-42ba-abbb-6e1b931ce99e","Union","ATHARAGASHIA","আঠারগাছিয়া ","1442",false,"division=1&district=1&upazila=1&union=1442","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"874d62c4-1f3f-4e55-a75a-549009482699","Union","CHOWRA","চাওড়া","1443",false,"division=1&district=1&upazila=1&union=1443","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2fac41d1-bb34-4c0c-9142-21b2e2d7f219","Union","GULISAKHALI","গুলিশাখালী ","1444",false,"division=1&district=1&upazila=1&union=1444","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bdb1af07-1c83-4724-8cc1-220373d133e2","Union","HALDIA","হলদিয়া","1445",false,"division=1&district=1&upazila=1&union=1445","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8a27816f-ef9f-4064-b741-ff0f6d80b954","Union","KUKUA","কুকুয়া ","1446",false,"division=1&district=1&upazila=1&union=1446","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f5a36f76-8e2e-4311-ac5e-63eeb40ec898","Union"," CHOTOBOGI"," ছোটোবোগী","1447",false,"division=1&district=1&upazila=1&union=1447","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0c8eae0b-d622-4942-a139-1f573f364968","Union","BAMNA","বামনা ","1448",false,"division=1&district=1&upazila=2&union=1448","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2ee4928d-9299-4a64-887b-01069dfdb2ea","Union","BUKABUNIA","বুকাবুনিয়া","1449",false,"division=1&district=1&upazila=2&union=1449","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
