"OpenCRVS_ID","Type","English_name","Bengali_name","Bureau_of_Statistics_ID","Map_data_exists","OISF_A2I_Reference","Rural_or_Urban","Estimated_Male_Population","Estimated_Female_Population","Estimated_number_of_male_children_aged_10_years","Estimated_number_of_female_children_aged_10_years","Estimated_number_of_male_children_aged_9_years","Estimated_number_of_female_children_aged_9_years","Estimated_number_of_male_children_aged_8_years","Estimated_number_of_female_children_aged_8_years","Estimated_number_of_male_children_aged_7_years","Estimated_number_of_female_children_aged_7_years","Estimated_number_of_male_children_aged_6_years","Estimated_number_of_female_children_aged_6_years","Estimated_number_of_male_children_aged_5_years","Estimated_number_of_female_children_aged_5_years","Estimated_number_of_male_children_aged_4_years","Estimated_number_of_female_children_aged_4_years","Estimated_number_of_male_children_aged_3_years","Estimated_number_of_female_children_aged_3_years","Estimated_number_of_male_children_aged_2_years","Estimated_number_of_female_children_aged_2_years","Estimated_number_of_male_children_aged_1_years","Estimated_number_of_female_children_aged_1_years","Estimated_number_of_male_children_aged_under_6_months","Estimated_number_of_female_children_aged_under_6_months"
"327fe610-a2c5-4826-98b6-ae2b9e5d170b","Upazila","AMTALI","আমতলী ","1",false,"division=1&district=1&upazila=1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41fa35e8-81d5-4cad-a9b0-ba9e37631e60","Upazila","BAMNA","বামনা ","2",false,"division=1&district=1&upazila=2","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7ba5b9dd-bb71-46f3-a0b8-9a85d528078e","Upazila","BARGUNA SADAR","বরগুনা সদর ","3",false,"division=1&district=1&upazila=3","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c2377e8e-5207-40a5-a8df-9649c81e0bc5","Upazila","BETAGI","বেতাগী ","4",false,"division=1&district=1&upazila=4","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b12b6f4c-69e7-41cc-8e3c-e8604976cbfd","Upazila","PATHARGHATA","পাথরঘাটা ","5",false,"division=1&district=1&upazila=5","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1d1d0868-5e4b-462f-8ed6-d6859d694538","Upazila","TALTALI","তালতলি ","6",false,"division=1&district=1&upazila=6","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19f7ca98-5baa-4845-b7a1-46957b5c78e5","Upazila","AGAILJHARA","আগৈলঝাড়া","7",false,"division=1&district=2&upazila=7","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9aa1c7e9-80f2-492e-85cc-39f5be888821","Upazila","BABUGANJ","বাবুগঞ্জ ","8",false,"division=1&district=2&upazila=8","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a2acd54f-0542-4f52-8146-c9b734c7f697","Upazila","BAKERGANJ","বাকেরগঞ্জ","9",false,"division=1&district=2&upazila=9","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7014060a-d036-4762-b380-4df3e631726d","Upazila","BANARI PARA","বানারীপাড়া ","10",false,"division=1&district=2&upazila=10","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07a6debd-6959-4d3f-afe4-876e8072b839","Upazila","GAURNADI","গৌরনদী ","11",false,"division=1&district=2&upazila=11","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ab10451b-de68-45d3-9e89-eccbf47865a8","Upazila","HIZLA","হিজলা ","12",false,"division=1&district=2&upazila=12","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"884a5dac-30eb-4354-b131-3d2a6d6f66fc","Upazila","BARISAL SADAR (KOTWALI)","বরিশাল সদর (কোতোয়ালী)","13",false,"division=1&district=2&upazila=13","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
