division,district,upazila,union,A2IReference,facilityNameBengali,facilityNameEnglish,facilityTypeBengali,facilityTypeEnglish,email,phone,type
Dhaka,Gazipur,Gazipur Sadar,,division=3&district=20&upazila=163,শহীদ তাজউদ্দিন আহমেদ মেডিকেল কলেজ হাসপাতাল,Shaheed Taj Uddin Ahmad Medical College,মেডিকেল কলেজ,HEALTH_FACILITY,ggazipurmc@ac.dghs.gov.bd,01711220636
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,কালীগঞ্জ ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,Kaliganj Union Sub Center,ইউনিয়ন উপ-স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,kaliganj_singra@usc.dghs.gov.bd,01833280000
Dhaka,Gazipur,Kaliganj,Urban Ward No-05,division=3&district=20&upazila=165,কালীগঞ্জ উপজেলা স্বাস্থ্য কমপ্লেক্স,Kaliganj Upazila Health Complex,উপজেলা স্বাস্থ্য কমপ্লেক্স,HEALTH_FACILITY,kaliganj@uhfpo.dghs.gov.bd,01769957469
Dhaka,Gazipur,Kaliganj,Bahadursadi,division=3&district=20&upazila=165,ধলাশাধুখান সিসি - কালিগঞ্জ,Dholashadhukhan Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005330@cc.dghs.gov.bd,01913509954
Dhaka,Gazipur,Kaliganj,Bahadursadi,division=3&district=20&upazila=165,খোলাপাড়া সিসি - কালিগঞ্জ,Kholapara Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005331@cc.dghs.gov.bd,01822615831
Dhaka,Gazipur,Kaliganj,Baktarpur,division=3&district=20&upazila=165,বেরুয়া সিসি - কালিগঞ্জ,Berua Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005332@cc.dghs.gov.bd,01784398882
Dhaka,Gazipur,Kaliganj,Baktarpur,division=3&district=20&upazila=165,ব্রাহ্মণগাঁও সিসি - কালিগঞ্জ,Brammangaon Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005333@cc.dghs.gov.bd,01710205124
Dhaka,Gazipur,Kaliganj,Baktarpur,division=3&district=20&upazila=165,ফুলদি সিসি - কালিগঞ্জ,Fuldi Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005334@cc.dghs.gov.bd,01724380333
Dhaka,Gazipur,Kaliganj,Baktarpur,division=3&district=20&upazila=165,মাজুখান সিসি - কালিগঞ্জ,Majhukhan Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005335@cc.dghs.gov.bd,01710829696
Dhaka,Gazipur,Kaliganj,Baktarpur,division=3&district=20&upazila=165,মোহানি সিসি - কালিগঞ্জ,Mohani Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005336@cc.dghs.gov.bd,01818748812
Dhaka,Gazipur,Kaliganj,Baktarpur,division=3&district=20&upazila=165,ভাটিরা সিসি - কালিগঞ্জ,Vatira Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005337@cc.dghs.gov.bd,01820534056
Dhaka,Gazipur,Kaliganj,Jamalpur,division=3&district=20&upazila=165,ছাইলাদি সিসি - কালিগঞ্জ,Chhailadi Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005338@cc.dghs.gov.bd,01720901210
Dhaka,Gazipur,Kaliganj,Jamalpur,division=3&district=20&upazila=165,জামালপুর সিসি - কালিগঞ্জ,Jamalpur Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005339@cc.dghs.gov.bd,01710434146
Dhaka,Gazipur,Kaliganj,Jamalpur,division=3&district=20&upazila=165,কাপাইস সিসি - কালিগঞ্জ,Kapais Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005340@cc.dghs.gov.bd,01715109218
Dhaka,Gazipur,Kaliganj,Jangalia,division=3&district=20&upazila=165,ছাতিয়ানি সিসি - কালিগঞ্জ,Chhatiyani Cc ,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005341@cc.dghs.gov.bd,01916739950
Dhaka,Gazipur,Kaliganj,Jangalia,division=3&district=20&upazila=165,ডুবরিয়া সিসি - কালিগঞ্জ,Dubriya Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005342@cc.dghs.gov.bd,01912355502
Dhaka,Gazipur,Kaliganj,Jangalia,division=3&district=20&upazila=165,জাঙ্গালিয়া সিসি - কালিগঞ্জ,Jangaliya Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005343@cc.dghs.gov.bd,01723651943
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,ছাইতেরপারা সিসি - কালিগঞ্জ,Chaiterpara CC,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005344@cc.dghs.gov.bd,01746795168
Dhaka,Gazipur,Kaliganj,Bahadursadi,division=3&district=20&upazila=165,ছান্দাইয়া সিসি - কালিগঞ্জ,Chandaiya CC,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005345@cc.dghs.gov.bd,01713582076
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,দেওপারা সিসি - কালিগঞ্জ,Deopara Cc ,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005346@cc.dghs.gov.bd,01945127140
Dhaka,Gazipur,Kaliganj,Bahadursadi,division=3&district=20&upazila=165,ডুব্বাতি সিসি - কালিগঞ্জ,Dubbati CC ,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005347@cc.dghs.gov.bd,01735071148
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,কুমারটেক সিসি - কালিগঞ্জ,Kumartek Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005348@cc.dghs.gov.bd,01721524414
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,উত্তারগাঁও সিসি - কালিগঞ্জ,Uttargaon Cc ,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005349@cc.dghs.gov.bd,01723010799
Dhaka,Gazipur,Kaliganj,Moktarpur,division=3&district=20&upazila=165,বাঘুন সিসি - কালিগঞ্জ,Baghun Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005350@cc.dghs.gov.bd,01757109313
Dhaka,Gazipur,Kaliganj,Moktarpur,division=3&district=20&upazila=165,বারাগাঁও সিসি - কালিগঞ্জ,Baragaon Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005351@cc.dghs.gov.bd,01726452402
Dhaka,Gazipur,Kaliganj,Moktarpur,division=3&district=20&upazila=165,ধানপুর সিসি - কালিগঞ্জ,Dhanpur Cc ,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005352@cc.dghs.gov.bd,01719691215
Dhaka,Gazipur,Kaliganj,Moktarpur,division=3&district=20&upazila=165,রাথুরা সিসি - কালিগঞ্জ,Rathura Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005353@cc.dghs.gov.bd,01718433397
Dhaka,Gazipur,Kaliganj,Moktarpur,division=3&district=20&upazila=165,শিংলাব সিসি - কালিগঞ্জ,Shinglab Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005354@cc.dghs.gov.bd,01716550722
Dhaka,Gazipur,Kaliganj,Tumulia,division=3&district=20&upazila=165,বোয়ালি সিসি - কালিগঞ্জ,Boali Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005355@cc.dghs.gov.bd,01918108510
Dhaka,Gazipur,Kaliganj,Tumulia,division=3&district=20&upazila=165,সাউথ সম সিসি - কালিগঞ্জ,South Som Cc,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10005356@cc.dghs.gov.bd,01756862098
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,বাহাদুরশাদী ইউনিয়ন সেন্টার,Bahadurshadi Union Centre ,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015046@union.dghs.gov.bd,
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,বক্তারপুর ইউনিয়ন সেন্টার,Baktarpur Union Centre ,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015047@union.dghs.gov.bd,
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,জামালপুর ইউনিয়ন সেন্টার,Jamalpur Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015048@union.dghs.gov.bd,
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,জাঙ্গালিয়া ইউনিয়ন সেন্টার,Jangalia Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015049@union.dghs.gov.bd,
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,মোক্তারপুর ইউনিয়ন সেন্টার,Moktarpur Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015050@union.dghs.gov.bd,
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,নাগরি ইউনিয়ন সেন্টার,Nagri Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015051@union.dghs.gov.bd,
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,তুমুলিয়া ইউনিয়ন সেন্টার,Tumulia Union Centre,ইউনিয়্ন স্বাস্থ্য কেন্দ্র,HEALTH_FACILITY,u10015052@union.dghs.gov.bd,
Dhaka,Gazipur,Kaliganj,Nagari,division=3&district=20&upazila=165,রয়েন সিসি - কালিগঞ্জ,Royen CC- Kaligonj,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018828@cc.dghs.gov.bd,01723133608
Dhaka,Gazipur,Kaliganj,Nagari,division=3&district=20&upazila=165,পারাবারথা সিসি - কালিগঞ্জ,Parabartha CC- Kaligonj,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10018829@cc.dghs.gov.bd,01760820154
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,বাংলাদেশ রেড ক্রিসেন্ট সোসাইটি - কালিগঞ্জ,Bangladesh Red Crescent Society-Kaliganj,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01735064458
Dhaka,Gazipur,Kaliganj,Moktarpur,division=3&district=20&upazila=165,বাংলাদেশ রেড ক্রিসেন্ট সোসাইটি - ২ কালিগঞ্জ,Bangladesh Red Crescent Society-2 Kaliganj,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01725548512
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,বাংলাদেশ রেড ক্রিসেন্ট সোসাইটি -৩ কালিগঞ্জ,Bangladesh Red Crescent Society-3 Kaliganj,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01734467901
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,ব্রাক (বিএইচপি) - কালিগঞ্জ,BRAC (BHP) -Kaliganj,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01710614466
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,মেরি স্টোপস - কালিগঞ্জ,Marie Stops-Kaliganj,এনজিও হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,
Dhaka,Gazipur,Kaliganj,Tumulia,division=3&district=20&upazila=165,সেন্ট মেরিস কাথলিক মাদার অ্যান্ড চাইল্ড হেলথ সেন্টার - কালিগঞ্জ,Saint marys Catholic Mother and Child Health center-Kaliganj,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01715374832
Dhaka,Gazipur,Kaliganj,Nagari,division=3&district=20&upazila=165,এসটি আন্থনি মাদার অ্যান্ড চাইল্ড হেলথ কেয়ার - কালিগঞ্জ,St. Anthony Mother and Child Health Care-Kaliganj,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01715374832
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,কালিগঞ্জ সেন্টার হসপিটাল - কালিগঞ্জ,Kaliganj Central Hospital-kalioganj,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01720025298
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,জামিল আই জেনারেল হসপিটাল - কালিগঞ্জ,Jamil Eye General Hospital-kalioganj,বেসরকারী হাসপাতাল / ক্লিনিক,HEALTH_FACILITY,,01711974635
Dhaka,Gazipur,Kaliganj,Jangalia,division=3&district=20&upazila=165,নরুন সিসি - কালিগঞ্জ,Norun CC - Kaliganj,কমিউনিটি ক্লিনিক,HEALTH_FACILITY,cc10022028@cc.dghs.gov.bd,
Dhaka,Gazipur,Kaliganj,,division=3&district=20&upazila=165,উপজেলা ফ্যামিলি ওয়েলফেয়ার অফিস - কালিগঞ্জ গাজীপুর.,Upazila family welfare office,ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,HEALTH_FACILITY,sanjida.ealy@gmail.com,01970107020
Dhaka,Gazipur,Kaliganj,Urban Ward No-09,division=3&district=20&upazila=165,উপজেলা ফ্যামিলি ওয়েলফেয়ার সদর ক্লিনিক কালিগঞ্জ গাজীপুর.,Upazila family welfare sadar clinic,ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,HEALTH_FACILITY,sanjida.ealy@gmail.com,01970107020
Dhaka,Gazipur,Kaliganj,Bahadursadi,division=3&district=20&upazila=165,ইউনিয়ন হেলথ অ্যান্ড ফ্যামিলি ওয়েলফেয়ার সেন্টার (ইউএইচ অ্যান্ড এফডবলিওসি) বাহাদুরশাদী কালিগঞ্জ গাজীপুর.,UH & FWC Bahadursad,ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,HEALTH_FACILITY,sanjida.ealy@gmail.com,01970107020
Dhaka,Gazipur,Kaliganj,Jamalpur,division=3&district=20&upazila=165,ইউনিয়ন হেলথ অ্যান্ড ফ্যামিলি ওয়েলফেয়ার সেন্টার (এউএইচ অ্যান্ড এফডবলিওসি) জামালপুর কালিগঞ্জ গাজীপুর.,UH & FWC Jamalpur,ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,HEALTH_FACILITY,sanjida.ealy@gmail.com,01970107020
Dhaka,Gazipur,Kaliganj,Baktarpur,division=3&district=20&upazila=165,ইউনিয়ন হেলথ অ্যান্ড ফ্যামিলি ওয়েলফেয়ার সেন্টার (এউএইচ অ্যান্ড এফডবলিওসি) বক্তারপুর কালিগঞ্জ গাজীপুর.,UH & FWC Bakterpur,ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,HEALTH_FACILITY,sanjida.ealy@gmail.com,01970107020
