statisticalID,name,partOf,code,physicalType
oEBf29y8JP8,Chibombo District,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
HPGiE9Jjh2r,Chisamba District,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
BxrIbNW7f3K,Chitambo District,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
SQT8xjbvWwf,Itezhi-tezhi District,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
sNAdEeUXVUz,Kabwe District,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
i28jnGjQN10,Kapiri-Mposhi District,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
hPzLRPGQhyk,Luano District,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
kbRJIC4LHCT,Mkushi District,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
tbIRVsMQUdg,Mumbwa District,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
ELt9FU92XZD,Ngabwe District,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
n0CXsSP6Esm,Serenje District,Location/AWn3s2RqgAN,ADMIN_STRUCTURE,Jurisdiction
sLIHwiFp41i,Chililabombwe District,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
y3gZjiNvEhh,Chingola District,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
d9vCXNPwvvL,Kalulushi District,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
b2Cgyi4BuiO,Kitwe District,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
b5QDzyFeLWd,Luanshya District,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
kscNOUDO0XN,Lufwanyama District,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
A9wU7lhL721,Masaiti District,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
SfFrfySzRgY,Mpongwe District,Location/utIjliUdjp8,ADMIN_STRUCTURE,Jurisdiction
