"Translation_Key","Value","Description"
"buttons.back","Back","Back button"
"buttons.menu","Menu","Menu"
"buttons.homepage","Homepage","Menu item homepage"
"constants.performance","Performance","Performance title"
"buttons.register","Register","Label for button on register confirmation modal"
"buttons.drafts","Drafts","Menu item drafts"
"buttons.settings","Settings","Menu item settings"
"buttons.logout","Logout","logout title"
"buttons.changeLanguage","Change Language","Menu item changeLanguage"
"languages.english","English","Menu item english"
"languages.bengali","Bengali","Menu item bengali"
"buttons.approve","Approve","Approve button text"
"buttons.apply","Apply","Apply button label"
"buttons.cancel","Cancel","Cancel button text in the modal"
"buttons.change","Change","Change action"
"buttons.confirm","Confirm","Confirm button text"
"buttons.continue","Continue","Continue Button Text"
"user.form.buttons.submit","Create user","Label for submit button of user creation form"
"buttons.delete","Delete","Delete button"
"buttons.edit","Edit","Edit button text"
"buttons.editRegistration","Edit Registration","Edit registration button text"
"buttons.exit","EXIT","Label for Exit button on EventTopBar"
"buttons.finish","Finish","The label for finish printing certificate button"
"buttons.goToHomePage","Go to Homepage","Label for Go to Homepage button"
"buttons.login","Login","Login button on session expire modal"
"buttons.next","Next","The label for next button"
"buttons.no","No","No button text"
"buttons.preview","Preview","Preview button"
"buttons.print","Print","Print button text"
"buttons.reject","Reject","A label for reject link"
"buttons.rejectApplication","Reject Application","Reject application button text"
"buttons.retry","Retry","The title of retry button for failed application"
"buttons.review","Review","Review button text"
"buttons.saveAndExit","SAVE & EXIT","SAVE & EXIT Button Text"
"buttons.search","Search","The title of search input submit button"
"buttons.select","SELECT","The select title"
"buttons.send","Submit","Submit button on submit modal"
"buttons.sendForReview","SEND FOR REVIEW","Submit Button Text"
"buttons.sendIncomplete","Send incomplete application","Title for Incomplete submit button"
"buttons.start","Start","Label of start button"
"buttons.update","Update","The title of update button for draft application"
"buttons.upload","Upload","Upload buttton"
"buttons.yes","Yes","Yes button text"
"buttons.editRecord","Edit Record","Edit record button text on review certificate"
"constants.applicantContactNumber","Applicant contact number","The title of contact number label"
"constants.application","application","A label for application"
"constants.applicationCollectedOn","Certificate collected on","Label for the workflow timestamp when the status is collected"
"constants.applicationFailedOn","Failed to send on","Label for the workflow timestamp when the status is failed"
"constants.informant","Informant","Informant Label"
"constants.applicationRegisteredOn","Registered on","Label for the workflow timestamp when the status is registered"
"constants.applicationRejectedOn","Application rejected on","Label for the workflow timestamp when the status is rejected"
"constants.applicationStartedOn","Started on","Label for the workflow timestamp when the status is draft created"
"constants.applicationState","Application {action} on","A label to describe when the application was actioned on"
"constants.applicationSubmittedOn","Application submitted on","Label for the workflow timestamp when the status is application"
"constants.applications","Applications","Application title"
"constants.applicationUpdatedOn","Updated on","Label for the workflow timestamp when the status is draft updated"
"constants.applicationValidatedOn","Application reviewed on","Label for the workflow timestamp when the status is validated"
"constants.areYouSure","A {event} certificate will be generated with your signature for issuance.","Description for are you sure label in modals"
"constants.birth","Birth","A label from the birth event"
"constants.by","By","Label for By (the person who performed the action)"
"constants.certified","certified","A label for certified"
"constants.collected","Collected","The status label for collected"
"constants.collectedBy","Collected by","The collected by sec text"
"constants.comment","Comment","Label for rejection comment"
"constants.dateOfApplication","Date of application","Date of application label"
"constants.death","Death","A label from the death event"
"constants.submitted","submitted","A label for submitted"
"constants.dob","D.o.B.","Date of birth label"
"constants.dod","D.o.D.","Label for DoD in work queue list item"
"constants.eventDate","Date of event","Label for event date in list item"
"constants.failedToSend","Failed to send","Label for application status Failed"
"constants.gender","Gender","Gender label"
"constants.id","ID","ID Label"
"constants.issuedBy","Issued by","The issued by sec text"
"constants.language","Language","language label"
"constants.password","Password","Password label"
"constants.phoneNumber","Phone number","Phone label"
"constants.PIN","PIN","PIN label"
"constants.role","Role","Role label"
"constants.lastEdited","Last edited","Label for rejection date in work queue list item"
"constants.name","Name","Name label"
"register.selectInformant.newBirthRegistration","New birth application","The title that appears for new birth registrations"
"register.selectInformant.newDeathRegistration","New death application","The title that appears for new death registrations"
"constants.noNameProvided","No name provided","Label for empty title"
"constants.noResults","No result to display","Text to display if the search return no results for the current filters"
"constants.pendingConnection","Pending connection","Label for application status Pending Connection"
"constants.reason","Reason","Label for Reason the application was rejected"
"constants.registered","registered","A label for registered"
"constants.rejected","rejected","A label for rejected"
"constants.rejectedDays","Rejected {text}","The title of rejected days of application"
"constants.relationship","Relationship","Relationship Label for death"
"constants.review","Review","A label from the review button"
"constants.search","Search","The title of the page"
"constants.sending","Sending...","Label for application status Submitting"
"constants.sentOn","Sent on","Label for rejection date in work queue list item"
"constants.status","Status","Title for column"
"constants.submissionStatus","Submission status","Label for table header of column Submission status"
