id,label,code
666b185f-a6c3-4043-8fcd-76ddb73a2dc8,Cholera,A00
59a5f74a-c104-4bde-85fc-2f11c4d6e7db,"Cholera due to Vibrio cholerae 01, biovar cholerae",A000
ca551173-5cb5-4707-a017-97e21dbaabc2,"Cholera due to Vibrio cholerae 01, biovar eltor",A001
412e0f43-a370-4bae-9370-910cec6e8425,"Cholera, unspecified",A009
ad0d5246-1af6-4350-b953-d34caa2a4fd9,Typhoid and paratyphoid fevers,A01
236d15aa-9cb4-4913-89d9-5a1c7a13c252,Typhoid fever,A010
cfa09940-ee9f-48b1-9938-2a2b7db24940,Paratyphoid fever A,A011
78ccd31d-d09b-4b5d-901e-ed555fd77afd,Paratyphoid fever B,A012
3ac7384e-9904-4368-8075-87bc283eb4b1,Paratyphoid fever C,A013
23f5767e-6005-412d-9fc5-f5faf5345ec0,"Paratyphoid fever, unspecified",A014
578697b7-89c0-499c-9f88-717006f8a8c8,Other salmonella infections,A02
c24bc48a-b87d-4535-81f1-3353786348ec,Salmonella enteritis,A020
e3c4c2e7-943e-4fde-b324-8efc1b65f010,Salmonella sepsis,A021
9ef49593-88f1-4e76-a45e-de2a5bf14e10,Localized salmonella infections,A022
b96305a0-66cb-4eca-bc13-0a790fa25049,Other specified salmonella infections,A028
780931b4-157c-4396-83e4-b8176230adfd,"Salmonella infection, unspecified",A029
fe31e1f7-93d7-4695-9766-4b1605670f6c,Shigellosis,A03
436bbb27-0075-40b0-bf8f-95b75484ad05,Shigellosis due to Shigella dysenteriae,A030
eabfadf2-89dd-4742-bf55-4be48d13aae3,Shigellosis due to Shigella flexneri,A031
9c7eb3f5-39bf-40e2-893a-b935902aab79,Shigellosis due to Shigella boydii,A032
04c13944-b1fb-49bd-86bb-85f69fdada65,Shigellosis due to Shigella sonnei,A033
bf909b25-ecf8-4500-a226-c23a854d228b,Other shigellosis,A038
42661d2a-af20-4f19-b5d7-f49a42679f07,"Shigellosis, unspecified",A039
290a84a3-b2eb-4a39-bbc1-320108539dd9,Other bacterial intestinal infections,A04
167ac1df-c729-4f8e-9771-584fff483579,Enteropathogenic Escherichia coli infection,A040
c4d624ec-3cdb-41d0-bb0b-93d30d3ff3ae,Enterotoxigenic Escherichia coli infection,A041
d2f8417a-022c-496b-9b8c-eaa244784bde,Enteroinvasive Escherichia coli infection,A042
d83b75ff-9bff-4165-b7c8-bff960410d08,Enterohaemorrhagic Escherichia coli infection,A043
c0a90896-a679-4f34-bc22-ca9a0c0c9270,Other intestinal Escherichia coli infections,A044
49fc7f46-b15e-43c8-9c46-c4b1ce86c814,Campylobacter enteritis,A045
0ee72e40-cc8c-4f3a-94ad-c9be4aa6764f,Enteritis due to Yersinia enterocolitica,A046
55e2b0a4-7084-43b6-ac8c-fd01898c6d28,Enterocolitis due to Clostridium difficile,A047
8fb837c9-5244-40a3-aced-d194beac9745,Other specified bacterial intestinal infections,A048
0a3c0ca1-04cf-41a5-8ce5-490f6290cfe7,"Bacterial intestinal infection, unspecified",A049
a073dc7f-8076-4c3b-b52e-94e803476248,"Other bacterial foodborne intoxications, not elsewhere classified",A05
2d9ee231-b6a2-4ce5-aba6-eaf0db16431b,Foodborne staphylococcal intoxication,A050
275a8b62-8558-40c1-bf03-71792f52014e,Botulism,A051
8eb8cc3c-0c52-4027-933d-1c0b2949ee97,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A052
2c53cc6e-5f20-4886-8bb8-1ab7601c86b3,Foodborne Vibrio parahaemolyticus intoxication,A053
34905a15-f6f3-47e3-98db-f8407e164a2b,Foodborne Bacillus cereus intoxication,A054
04a87dc7-6bfc-4506-b8f2-97afc51b738d,Other specified bacterial foodborne intoxications,A058
de346a81-c6be-474b-a062-71077cb33c55,"Bacterial foodborne intoxication, unspecified",A059
e8d21898-ae27-46cc-ba12-72d323aab605,Amoebiasis,A06
5422b00c-aa9b-4ddb-9b38-20180f1c0a93,Acute amoebic dysentery,A060
02bcd689-1601-4d4d-b93e-308b863971eb,Chronic intestinal amoebiasis,A061
8f1a014c-989f-47f5-b207-cdc7ebe5412f,Amoebic nondysenteric colitis,A062
4fb8104d-df1e-4610-9927-ef4874907b71,Amoeboma of intestine,A063
34aa1e47-a144-44ba-98c9-0adfdf6f2179,Amoebic liver abscess,A064
d37feaf6-e1e5-4dc2-959d-483c98310a38,Amoebic lung abscess,A065
ad0fce44-4bc2-450c-a0cb-ae870509c061,Amoebic brain abscess,A066
751639b7-df66-42f6-b260-bba1a1c924d3,Cutaneous amoebiasis,A067
80b32df5-64c6-4227-9d9f-5f37dd5f7ccc,Amoebic infection of other sites,A068
2194ca73-1a5c-4611-bfff-1950301d8039,"Amoebiasis, unspecified",A069
01dcc4f1-599e-4d6e-8a3a-52af1d072d27,Other protozoal intestinal diseases,A07
8db381f8-6d88-425c-9845-6c6c0c1bddb4,Balantidiasis,A070
9ffbd8c6-a4b0-4695-a588-73e5dc00a13d,Giardiasis [lambliasis],A071
beb85240-3971-400a-911f-ce90e38979c1,Cryptosporidiosis,A072
e9f2fe1b-68a3-4203-97c8-9edf509180ca,Isosporiasis,A073
4f8a05a3-a57d-48f2-a805-47ba268046df,Other specified protozoal intestinal diseases,A078
c61edd39-c9b7-4bcd-b596-33a4d196e019,"Protozoal intestinal disease, unspecified",A079
80fce361-f2d4-4a79-aa27-ae70052c4ebb,Viral and other specified intestinal infections,A08
7d19beec-ed0d-4e8b-add5-61a00a5b9e26,Rotaviral enteritis,A080
14beabb9-a1f4-40aa-83ed-839309590ec1,Acute gastroenteropathy due to Norwalk agent,A081
e17d047e-91da-4925-89a4-e4eb7264be11,Adenoviral enteritis,A082
224f7e09-cfed-4cff-9a8a-979baba358c4,Other viral enteritis,A083
c3fbefb9-3992-4870-9d31-9d79976087fc,"Viral intestinal infection, unspecified",A084
1dbc926e-e187-468d-8df2-57f8ab75eac1,Other specified intestinal infections,A085
27d62aea-47de-4dff-877f-ccc575a8eaa6,Other gastroenteritis and colitis of infectious and unspecified origin,A09
bd12f45c-42c4-4c66-85fc-14fbf3235770,Other and unspecified gastroenteritis and colitis of infectious origin,A090
ee4b4342-a84d-4e7d-b443-06db89af3949,Gastroenteritis and colitis of unspecified origin,A099
d87c990f-194f-457f-9631-c84cf8ef23bb,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15
7e4eb172-d17c-4010-8de2-8f28604de6a1,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",A150
ecf34799-71cd-4e7d-b3dd-834d1be0077d,"Tuberculosis of lung, confirmed by culture only",A151
5f653161-d33c-4dfc-b50b-c3b459511ec3,"Tuberculosis of lung, confirmed histologically",A152
77d41d72-72bf-492b-8800-74bd40e2db45,"Tuberculosis of lung, confirmed by unspecified means",A153
ca3e0e35-b6ee-42ca-ad13-6de0403f558a,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",A154
d5788b6e-6f90-4b34-8b58-42b92b795011,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A155
91ca72c6-85fa-40ad-9e45-18e52a6a38f6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",A156
3eec3e8e-bf45-4a5f-838f-60a5c1cb0070,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",A157
7a5f7a8b-84d8-49f2-a6ef-19d5eef935e1,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",A158
88e00941-7cfe-44e7-b5af-a7499bebb0fd,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",A159
2cc28ca0-54ee-482a-a92a-4ec5ed3ce4b6,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16
41a748b3-8474-4c2c-a11a-f5659363374a,"Tuberculosis of lung, bacteriologically and histologically negative",A160
892a6f04-a629-4228-9693-5cd575c61951,"Tuberculosis of lung, bacteriological and histological examination not done",A161
338d11f8-0f1a-48f2-a343-f91523ba890f,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A162
4f147d23-6edf-4324-83b8-d5562f7e1cad,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",A163
6fb31625-0c37-4856-a9a3-2bc33bfb7484,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",A164
825dc49e-2c27-4b1e-bc0a-d17e17293744,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A165
16c4ef2e-fda5-4d1f-817a-6dc6545e066e,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,A167
101cc972-cfbe-40e1-9785-86d2d4c754a1,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",A168
b95303aa-8a98-44da-90af-6cdbd557affe,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A169
dccd4a91-dc23-4372-8e31-a6e75912aa6c,"Tuberculosis, unspecified, not described as respiratory or pulmonary",A1690
80d60405-2b67-4835-a420-b6bab886f13a,"Tuberculosis, unspecified, described as respiratory or pulmonary",A1699
784699fa-58e8-45c7-9e25-5f0400d311d0,Tuberculosis of nervous system,A17
e17a5a87-13a2-44fa-8821-b1a920b7add1,Tuberculous meningitis,A170
aa089021-b5c3-49c9-810a-05aee56541d1,Meningeal tuberculoma,A171
849a7e4d-1031-41f8-b454-15257e1cba69,Other tuberculosis of nervous system,A178
1ee21725-c8c8-41a8-aa28-219e3944dcd5,"Tuberculosis of nervous system, unspecified",A179
576fa681-20dd-4e44-a0ec-52af6094df80,Tuberculosis of other organs,A18
69860b5c-025d-4e4d-931a-0df8c5414950,Tuberculosis of bones and joints,A180
704dc220-fce8-49ad-a2b5-69d11e618a99,Tuberculosis of genitourinary system,A181
85660abc-deb1-4975-b77b-df1e3885c44c,Tuberculous peripheral lymphadenopathy,A182
805914d6-2f4e-4c96-b759-19b72483984e,"Tuberculosis of intestines, peritoneum and mesenteric glands",A183
b15769b5-63c3-4c7f-8b5b-5ac27ef0b984,Tuberculosis of skin and subcutaneous tissue,A184
c8390e1c-22d5-47b8-84b0-d0ac10966e20,Tuberculosis of eye,A185
a2d5bce5-ecb4-43ce-a72f-978462d25c07,Tuberculosis of ear,A186
3e6f0662-8598-4ffc-b295-4abbd1053f61,Tuberculosis of adrenal glands,A187
130e19d7-ac1a-4584-82eb-b6f4aaa8e3d0,Tuberculosis of other specified organs,A188
54505113-a4ab-4895-b084-a28fae538d20,Miliary tuberculosis,A19
62a19c62-c3ec-415b-87c5-ae50f8a39f37,Acute miliary tuberculosis of a single specified site,A190
a6584a88-3a08-48d9-9399-fabab5cd8086,Acute miliary tuberculosis of multiple sites,A191
f5a91982-7cbd-4b0f-b646-accea8dc13e2,"Acute miliary tuberculosis, unspecified",A192
b26a2941-d23a-43d2-9abd-ae528c2d572d,Other miliary tuberculosis,A198
dffb196b-9cca-425e-93e1-1f7093915430,"Miliary tuberculosis, unspecified",A199
915da642-952b-4493-8c76-8352d62a6856,Plague,A20
f809b488-1689-41e9-9779-07bb5682318f,Bubonic plague,A200
6638970e-b921-4571-bda6-258c67916654,Cellulocutaneous plague,A201
d66661e7-1b76-47a2-8369-64aef3f79d95,Pneumonic plague,A202
360e0388-cea7-4eeb-90a4-dc468dc10c88,Plague meningitis,A203
3984a30e-aedd-433a-81ba-7e0667992f1a,Septicaemic plague,A207
1c3d739a-35b3-4735-8ca9-c97dc7a8d057,Other forms of plague,A208
107bff23-2a9b-4c7a-98ec-d014d1e9fd99,"Plague, unspecified",A209
41cffa70-ece7-46ca-bf72-ca4956bde4ec,Tularaemia,A21
3f25f534-ab69-4938-a730-516cf52fdfb6,Ulceroglandular tularaemia,A210
28a5eda1-4994-49ff-bffe-98cb4cf22641,Oculoglandular tularaemia,A211
a6176697-b4d8-4c93-bdf5-4f70e0765709,Pulmonary tularaemia,A212
f3d3f116-628a-43d5-98d2-7041ace5660d,Gastrointestinal tularaemia,A213
e0d054db-4388-41dd-b37f-04fa9fdd774c,Generalized tularaemia,A217
21c6efea-ce45-4d74-98f2-efaac1aed3ca,Other forms of tularaemia,A218
a4aff6f5-7cc4-41cd-bc5b-9c0260adf42b,"Tularaemia, unspecified",A219
50115b94-b866-49d6-aefb-672a5cd92e4a,Anthrax,A22
f63b6760-ac65-4917-a6c7-d94978caa93c,Cutaneous anthrax,A220
ecbff8c2-d3a8-4730-b1de-2401df9266b0,Pulmonary anthrax,A221
05db1cf6-548e-4dec-a545-b8ce13594821,Gastrointestinal anthrax,A222
9e00e8be-2ea9-404a-8996-ce4c9c9e30c0,Anthrax sepsis,A227
b037c97b-960c-4f60-ba24-225bc6003486,Other forms of anthrax,A228
e07635df-2478-4f7f-999d-ec4d2cfa7e90,"Anthrax, unspecified",A229
edd52a77-fbd4-40eb-8ab0-d13e7fbd64cb,Brucellosis,A23
c1eb8e0c-f962-468a-a03d-8e54856183bc,Brucellosis due to Brucella melitensis,A230
20c659b8-89e3-4159-b64d-514751bc816d,Brucellosis due to Brucella abortus,A231
a2432c88-d391-4762-b9db-af4f023149de,Brucellosis due to Brucella suis,A232
e6859a7c-6696-4725-b2b3-f25f5e35530f,Brucellosis due to Brucella canis,A233
263f7767-5129-4c42-8d4e-fe2b8116be8e,Other brucellosis,A238
71679856-737d-469f-a830-8c1c7db04eb7,"Brucellosis, unspecified",A239
90c59f81-a6b1-4609-9241-ade229e37603,Glanders and melioidosis,A24
2eb627b2-1413-4236-802e-bee3d5149dfb,Glanders,A240
99b41dc1-b4e5-4377-972c-4dc5eb66cea1,Acute and fulminating melioidosis,A241
a9658fce-5cec-45b8-8f1e-a9f1c580b7b6,Subacute and chronic melioidosis,A242
65c1fffa-2a35-4b0f-8d75-e2d13d7bc8b0,Other melioidosis,A243
a8fbdd83-e196-4b8a-96c7-d58af1c0cdc3,"Melioidosis, unspecified",A244
7b6604b9-0ed7-4e51-8215-78cfdfd6a309,Rat-bite fevers,A25
cc7be508-9489-4180-a2d3-63364054a5e2,Spirillosis,A250
4e7228a7-9695-41d8-9961-cdaa9e1e699b,Streptobacillosis,A251
9e02ce05-69a4-4ddf-8ae0-45be1449fdee,"Rat-bite fever, unspecified",A259
e4b79a81-aa8e-45f1-9011-0f2e5fa04305,Erysipeloid,A26
dfd5b203-f258-4f31-830e-04faced4b08c,Cutaneous erysipeloid,A260
b6329122-52ab-4fe3-93af-0c119835095d,Erysipelothrix sepsis,A267
af4a8cb5-e14d-41b9-8e0f-313aa7983141,Other forms of erysipeloid,A268
782933af-1389-4855-879e-5f2b0dfab229,"Erysipeloid, unspecified",A269
ad1f7049-756f-4f6f-9634-a86559fb38f9,Leptospirosis,A27
88164478-9036-4cf6-9782-f144c93d50cb,Leptospirosis icterohaemorrhagica,A270
f0c58805-5dce-4ea6-b537-695196ec2dce,Other forms of leptospirosis,A278
f360edda-a384-4a91-a785-a0622febedaf,"Leptospirosis, unspecified",A279
0d5ac7e8-fb09-4a6e-aba8-e5f212806e33,"Other zoonotic bacterial diseases, not elsewhere classified",A28
5032b31b-f0ce-486e-86be-20ae0d9b8880,Pasteurellosis,A280
cf06f2c4-ac6f-4b34-842f-ae1b1e8cab7e,Cat-scratch disease,A281
